"parts","Day_1","Day_2","Day_3","Day_4","Day_5","Day_6","Day_7","bird_size"
"6P",1200,150,2000,0,0,2200,200,"M"
"8P",0,2150,0,550,500,0,1700,"M"
"7P",900,5100,2750,1800,1950,3350,3900,"M"
"9P",2000,0,1750,600,150,2250,0,"M"
"6P",700,1000,600,950,550,0,0,"ML"
"8P",0,0,0,0,0,0,950,"ML"
"7P",1800,550,500,1250,250,0,1650,"ML"
"9P",1100,1250,1300,650,1050,0,350,"ML"
"6P",800,0,1050,0,0,1150,0,"L"
"8P",0,700,350,700,850,0,850,"L"
"7P",100,2350,0,900,2550,1700,1750,"L"
"9P",1300,50,1000,300,250,1100,150,"L"
