Products,ProdType,keyfigure,Days,Value,Priority
BCH019220K02DC,Fresh,fresh_sold,0,0.0,2.0
BCH019220K02DC,Fresh,fresh_sold,1,0.0,2.0
BCH019220K02DC,Fresh,fresh_sold,2,0.0,2.0
BCH019220K02DC,Fresh,fresh_sold,3,0.0,2.0
BCH019220K02DC,Fresh,fresh_sold,4,0.0,2.0
CDS0J0000K02DC,Fresh,fresh_sold,0,0.0,2.0
CDS0J0000K02DC,Fresh,fresh_sold,1,0.0,2.0
CDS0J0000K02DC,Fresh,fresh_sold,2,0.0,2.0
CDS0J0000K02DC,Fresh,fresh_sold,3,0.0,2.0
CDS0J0000K02DC,Fresh,fresh_sold,4,0.0,2.0
P3JW00BRUK02DC,Fresh,fresh_sold,0,0.0,2.0
P3JW00BRUK02DC,Fresh,fresh_sold,1,0.0,2.0
P3JW00BRUK02DC,Fresh,fresh_sold,2,0.0,2.0
P3JW00BRUK02DC,Fresh,fresh_sold,3,0.0,2.0
P3JW00BRUK02DC,Fresh,fresh_sold,4,0.0,2.0
WBS2BP000P10DC,Fresh,fresh_sold,0,0.0,2.0
WBS2BP000P10DC,Fresh,fresh_sold,1,427.0,2.0
WBS2BP000P10DC,Fresh,fresh_sold,2,427.0,2.0
WBS2BP000P10DC,Fresh,fresh_sold,3,427.0,2.0
WBS2BP000P10DC,Fresh,fresh_sold,4,427.0,2.0
CDS008110K02DC,Fresh,fresh_sold,0,0.0,2.0
CDS008110K02DC,Fresh,fresh_sold,1,752.0,2.0
CDS008110K02DC,Fresh,fresh_sold,2,752.0,2.0
CDS008110K02DC,Fresh,fresh_sold,3,752.0,2.0
CDS008110K02DC,Fresh,fresh_sold,4,752.0,2.0
CKE0F0000K02DC,Fresh,fresh_sold,0,0.0,2.0
CKE0F0000K02DC,Fresh,fresh_sold,1,195.0,2.0
CKE0F0000K02DC,Fresh,fresh_sold,2,195.0,2.0
CKE0F0000K02DC,Fresh,fresh_sold,3,195.0,2.0
CKE0F0000K02DC,Fresh,fresh_sold,4,195.0,2.0
BTHS07595P24DC,Fresh,fresh_sold,0,0.0,2.0
BTHS07595P24DC,Fresh,fresh_sold,1,0.0,2.0
BTHS07595P24DC,Fresh,fresh_sold,2,0.0,2.0
BTHS07595P24DC,Fresh,fresh_sold,3,0.0,2.0
BTHS07595P24DC,Fresh,fresh_sold,4,0.0,2.0
PDMT04050K02DC,Fresh,fresh_sold,0,0.0,2.0
PDMT04050K02DC,Fresh,fresh_sold,1,0.0,2.0
PDMT04050K02DC,Fresh,fresh_sold,2,0.0,2.0
PDMT04050K02DC,Fresh,fresh_sold,3,0.0,2.0
PDMT04050K02DC,Fresh,fresh_sold,4,0.0,2.0
WBM2SPGCHP01DC,Fresh,fresh_sold,0,0.0,2.0
WBM2SPGCHP01DC,Fresh,fresh_sold,1,610.0,2.0
WBM2SPGCHP01DC,Fresh,fresh_sold,2,610.0,2.0
WBM2SPGCHP01DC,Fresh,fresh_sold,3,610.0,2.0
WBM2SPGCHP01DC,Fresh,fresh_sold,4,610.0,2.0
P3JW07090K02DC,Fresh,fresh_sold,0,0.0,2.0
P3JW07090K02DC,Fresh,fresh_sold,1,47.0,2.0
P3JW07090K02DC,Fresh,fresh_sold,2,47.0,2.0
P3JW07090K02DC,Fresh,fresh_sold,3,47.0,2.0
P3JW07090K02DC,Fresh,fresh_sold,4,47.0,2.0
WNC03P0S2P03DC,Fresh,fresh_sold,0,0.0,2.0
WNC03P0S2P03DC,Fresh,fresh_sold,1,729.0,2.0
WNC03P0S2P03DC,Fresh,fresh_sold,2,729.0,2.0
WNC03P0S2P03DC,Fresh,fresh_sold,3,729.0,2.0
WNC03P0S2P03DC,Fresh,fresh_sold,4,729.0,2.0
PMJWMF000150DC,Fresh,fresh_sold,0,0.0,3.0
PMJWMF000150DC,Fresh,fresh_sold,1,200.0,3.0
PMJWMF000150DC,Fresh,fresh_sold,2,200.0,3.0
PMJWMF000150DC,Fresh,fresh_sold,3,0.0,3.0
PMJWMF000150DC,Fresh,fresh_sold,4,0.0,3.0
CLG022270K06DC,Fresh,fresh_sold,0,0.0,2.0
CLG022270K06DC,Fresh,fresh_sold,1,43.0,2.0
CLG022270K06DC,Fresh,fresh_sold,2,43.0,2.0
CLG022270K06DC,Fresh,fresh_sold,3,43.0,2.0
CLG022270K06DC,Fresh,fresh_sold,4,43.0,2.0
CDS0S0000K02DC,Fresh,fresh_sold,0,0.0,2.0
CDS0S0000K02DC,Fresh,fresh_sold,1,0.0,2.0
CDS0S0000K02DC,Fresh,fresh_sold,2,0.0,2.0
CDS0S0000K02DC,Fresh,fresh_sold,3,0.0,2.0
CDS0S0000K02DC,Fresh,fresh_sold,4,0.0,2.0
CLG022270P10DC,Fresh,fresh_sold,0,0.0,2.0
CLG022270P10DC,Fresh,fresh_sold,1,50.0,2.0
CLG022270P10DC,Fresh,fresh_sold,2,50.0,2.0
CLG022270P10DC,Fresh,fresh_sold,3,50.0,2.0
CLG022270P10DC,Fresh,fresh_sold,4,50.0,2.0
BLGS07595P24DC,Fresh,fresh_sold,0,0.0,2.0
BLGS07595P24DC,Fresh,fresh_sold,1,0.0,2.0
BLGS07595P24DC,Fresh,fresh_sold,2,0.0,2.0
BLGS07595P24DC,Fresh,fresh_sold,3,0.0,2.0
BLGS07595P24DC,Fresh,fresh_sold,4,0.0,2.0
CRB01924VP04DC,Fresh,fresh_sold,0,0.0,2.0
CRB01924VP04DC,Fresh,fresh_sold,1,0.0,2.0
CRB01924VP04DC,Fresh,fresh_sold,2,0.0,2.0
CRB01924VP04DC,Fresh,fresh_sold,3,0.0,2.0
CRB01924VP04DC,Fresh,fresh_sold,4,0.0,2.0
CLG026340K06DC,Fresh,fresh_sold,0,0.0,2.0
CLG026340K06DC,Fresh,fresh_sold,1,206.0,2.0
CLG026340K06DC,Fresh,fresh_sold,2,206.0,2.0
CLG026340K06DC,Fresh,fresh_sold,3,206.0,2.0
CLG026340K06DC,Fresh,fresh_sold,4,206.0,2.0
BBRS07595P24DC,Fresh,fresh_sold,0,0.0,2.0
BBRS07595P24DC,Fresh,fresh_sold,1,0.0,2.0
BBRS07595P24DC,Fresh,fresh_sold,2,0.0,2.0
BBRS07595P24DC,Fresh,fresh_sold,3,0.0,2.0
BBRS07595P24DC,Fresh,fresh_sold,4,0.0,2.0
MPORWM1PKP02DC,Fresh,fresh_sold,0,0.0,2.0
MPORWM1PKP02DC,Fresh,fresh_sold,1,137.0,2.0
MPORWM1PKP02DC,Fresh,fresh_sold,2,137.0,2.0
MPORWM1PKP02DC,Fresh,fresh_sold,3,137.0,2.0
MPORWM1PKP02DC,Fresh,fresh_sold,4,137.0,2.0
BBRSMF000K04DC,Fresh,fresh_sold,0,0.0,3.0
BBRSMF000K04DC,Fresh,fresh_sold,1,5008.0,3.0
BBRSMF000K04DC,Fresh,fresh_sold,2,5008.0,3.0
BBRSMF000K04DC,Fresh,fresh_sold,3,5008.0,3.0
BBRSMF000K04DC,Fresh,fresh_sold,4,5008.0,3.0
BBR0F0000K02DC,Fresh,fresh_sold,0,0.0,2.0
BBR0F0000K02DC,Fresh,fresh_sold,1,319.0,2.0
BBR0F0000K02DC,Fresh,fresh_sold,2,319.0,2.0
BBR0F0000K02DC,Fresh,fresh_sold,3,319.0,2.0
BBR0F0000K02DC,Fresh,fresh_sold,4,319.0,2.0
C3JWL0000K02DC,Fresh,fresh_sold,0,0.0,2.0
C3JWL0000K02DC,Fresh,fresh_sold,1,0.0,2.0
C3JWL0000K02DC,Fresh,fresh_sold,2,0.0,2.0
C3JWL0000K02DC,Fresh,fresh_sold,3,0.0,2.0
C3JWL0000K02DC,Fresh,fresh_sold,4,0.0,2.0
WBL1SPHFGP01DC,Fresh,fresh_sold,0,0.0,2.0
WBL1SPHFGP01DC,Fresh,fresh_sold,1,1147.0,2.0
WBL1SPHFGP01DC,Fresh,fresh_sold,2,1147.0,2.0
WBL1SPHFGP01DC,Fresh,fresh_sold,3,1147.0,2.0
