Products,ProdType,keyfigure,Days,Value
CDS0J0000K02DC,Fresh,fresh_sold,0,0
CDS0J0000K02DC,Fresh,fresh_sold,1,0
CDS0J0000K02DC,Fresh,fresh_sold,2,0
CDS0J0000K02DC,Fresh,fresh_sold,3,0
CDS0J0000K02DC,Fresh,fresh_sold,4,0
P3JW00BRUK02DC,Fresh,fresh_sold,0,0
P3JW00BRUK02DC,Fresh,fresh_sold,1,0
P3JW00BRUK02DC,Fresh,fresh_sold,2,0
P3JW00BRUK02DC,Fresh,fresh_sold,3,0
P3JW00BRUK02DC,Fresh,fresh_sold,4,0
CKE0F0000K02DC,Fresh,fresh_sold,0,0
CKE0F0000K02DC,Fresh,fresh_sold,1,195
CKE0F0000K02DC,Fresh,fresh_sold,2,195
CKE0F0000K02DC,Fresh,fresh_sold,3,195
CKE0F0000K02DC,Fresh,fresh_sold,4,193
BTHS07595P24DC,Fresh,fresh_sold,0,0
BTHS07595P24DC,Fresh,fresh_sold,1,0
BTHS07595P24DC,Fresh,fresh_sold,2,0
BTHS07595P24DC,Fresh,fresh_sold,3,0
BTHS07595P24DC,Fresh,fresh_sold,4,0
PDMT04050K02DC,Fresh,fresh_sold,0,0
PDMT04050K02DC,Fresh,fresh_sold,1,0
PDMT04050K02DC,Fresh,fresh_sold,2,0
PDMT04050K02DC,Fresh,fresh_sold,3,0
PDMT04050K02DC,Fresh,fresh_sold,4,0
BTH0CU020K02DC,Fresh,fresh_sold,0,0
BTH0CU020K02DC,Fresh,fresh_sold,1,0
BTH0CU020K02DC,Fresh,fresh_sold,2,0
BTH0CU020K02DC,Fresh,fresh_sold,3,0
BTH0CU020K02DC,Fresh,fresh_sold,4,0
P3JW07090K02DC,Fresh,fresh_sold,0,0
P3JW07090K02DC,Fresh,fresh_sold,1,47
P3JW07090K02DC,Fresh,fresh_sold,2,47
P3JW07090K02DC,Fresh,fresh_sold,3,47
P3JW07090K02DC,Fresh,fresh_sold,4,47
PMJWMF000150DC,Fresh,fresh_sold,0,0
PMJWMF000150DC,Fresh,fresh_sold,1,70
PMJWMF000150DC,Fresh,fresh_sold,2,0
PMJWMF000150DC,Fresh,fresh_sold,3,71
PMJWMF000150DC,Fresh,fresh_sold,4,126
CLG026340K06DC,Fresh,fresh_sold,0,0
CLG026340K06DC,Fresh,fresh_sold,1,206
CLG026340K06DC,Fresh,fresh_sold,2,206
CLG026340K06DC,Fresh,fresh_sold,3,203
CLG026340K06DC,Fresh,fresh_sold,4,206
CDS0S0000K02DC,Fresh,fresh_sold,0,0
CDS0S0000K02DC,Fresh,fresh_sold,1,0
CDS0S0000K02DC,Fresh,fresh_sold,2,0
CDS0S0000K02DC,Fresh,fresh_sold,3,0
CDS0S0000K02DC,Fresh,fresh_sold,4,0
CLG022270P10DC,Fresh,fresh_sold,0,0
CLG022270P10DC,Fresh,fresh_sold,1,50
CLG022270P10DC,Fresh,fresh_sold,2,50
CLG022270P10DC,Fresh,fresh_sold,3,50
CLG022270P10DC,Fresh,fresh_sold,4,50
BLGS07595P24DC,Fresh,fresh_sold,0,0
BLGS07595P24DC,Fresh,fresh_sold,1,0
BLGS07595P24DC,Fresh,fresh_sold,2,0
BLGS07595P24DC,Fresh,fresh_sold,3,0
BLGS07595P24DC,Fresh,fresh_sold,4,0
CRB01924VP04DC,Fresh,fresh_sold,0,0
CRB01924VP04DC,Fresh,fresh_sold,1,0
CRB01924VP04DC,Fresh,fresh_sold,2,0
CRB01924VP04DC,Fresh,fresh_sold,3,0
CRB01924VP04DC,Fresh,fresh_sold,4,0
CLG022270K06DC,Fresh,fresh_sold,0,0
CLG022270K06DC,Fresh,fresh_sold,1,43
CLG022270K06DC,Fresh,fresh_sold,2,43
CLG022270K06DC,Fresh,fresh_sold,3,43
CLG022270K06DC,Fresh,fresh_sold,4,43
BBRSMF000K04DC,Fresh,fresh_sold,0,0
BBRSMF000K04DC,Fresh,fresh_sold,1,4579
BBRSMF000K04DC,Fresh,fresh_sold,2,4523
BBRSMF000K04DC,Fresh,fresh_sold,3,4723
BBRSMF000K04DC,Fresh,fresh_sold,4,4811
BBR0F0000K02DC,Fresh,fresh_sold,0,0
BBR0F0000K02DC,Fresh,fresh_sold,1,319
BBR0F0000K02DC,Fresh,fresh_sold,2,319
BBR0F0000K02DC,Fresh,fresh_sold,3,319
BBR0F0000K02DC,Fresh,fresh_sold,4,319
C3JWL0000K02DC,Fresh,fresh_sold,0,0
C3JWL0000K02DC,Fresh,fresh_sold,1,0
C3JWL0000K02DC,Fresh,fresh_sold,2,0
C3JWL0000K02DC,Fresh,fresh_sold,3,0
C3JWL0000K02DC,Fresh,fresh_sold,4,0
CDS0CU000K02DC,Fresh,fresh_sold,0,0
CDS0CU000K02DC,Fresh,fresh_sold,1,0
CDS0CU000K02DC,Fresh,fresh_sold,2,0
CDS0CU000K02DC,Fresh,fresh_sold,3,3
CDS0CU000K02DC,Fresh,fresh_sold,4,1
CRB015190K02DC,Fresh,fresh_sold,0,0
