Products,keyfigure,Days,Value,ProdType
CDS0J0000K02DC,fresh_sold,0,0,Fresh
CDS0J0000K02DC,fresh_sold,1,0,Fresh
CDS0J0000K02DC,fresh_sold,2,0,Fresh
CDS0J0000K02DC,fresh_sold,3,0,Fresh
CDS0J0000K02DC,fresh_sold,4,0,Fresh
P3JW00BRUK02DC,fresh_sold,0,0,Fresh
P3JW00BRUK02DC,fresh_sold,1,0,Fresh
P3JW00BRUK02DC,fresh_sold,2,0,Fresh
P3JW00BRUK02DC,fresh_sold,3,0,Fresh
P3JW00BRUK02DC,fresh_sold,4,0,Fresh
CKE0F0000K02DC,fresh_sold,0,0,Fresh
CKE0F0000K02DC,fresh_sold,1,195,Fresh
CKE0F0000K02DC,fresh_sold,2,191,Fresh
CKE0F0000K02DC,fresh_sold,3,195,Fresh
CKE0F0000K02DC,fresh_sold,4,195,Fresh
BTHS07595P24DC,fresh_sold,0,0,Fresh
BTHS07595P24DC,fresh_sold,1,0,Fresh
BTHS07595P24DC,fresh_sold,2,0,Fresh
BTHS07595P24DC,fresh_sold,3,0,Fresh
BTHS07595P24DC,fresh_sold,4,0,Fresh
PDMT04050K02DC,fresh_sold,0,0,Fresh
PDMT04050K02DC,fresh_sold,1,0,Fresh
PDMT04050K02DC,fresh_sold,2,0,Fresh
PDMT04050K02DC,fresh_sold,3,0,Fresh
PDMT04050K02DC,fresh_sold,4,0,Fresh
BTH0CU020K02DC,fresh_sold,0,0,Fresh
BTH0CU020K02DC,fresh_sold,1,0,Fresh
BTH0CU020K02DC,fresh_sold,2,0,Fresh
BTH0CU020K02DC,fresh_sold,3,0,Fresh
BTH0CU020K02DC,fresh_sold,4,0,Fresh
P3JW07090K02DC,fresh_sold,0,0,Fresh
P3JW07090K02DC,fresh_sold,1,47,Fresh
P3JW07090K02DC,fresh_sold,2,47,Fresh
P3JW07090K02DC,fresh_sold,3,47,Fresh
P3JW07090K02DC,fresh_sold,4,47,Fresh
PMJWMF000150DC,fresh_sold,0,0,Fresh
PMJWMF000150DC,fresh_sold,1,105,Fresh
PMJWMF000150DC,fresh_sold,2,83,Fresh
PMJWMF000150DC,fresh_sold,3,137,Fresh
PMJWMF000150DC,fresh_sold,4,137,Fresh
CLG026340K06DC,fresh_sold,0,0,Fresh
CLG026340K06DC,fresh_sold,1,206,Fresh
CLG026340K06DC,fresh_sold,2,206,Fresh
CLG026340K06DC,fresh_sold,3,206,Fresh
CLG026340K06DC,fresh_sold,4,203,Fresh
CDS0S0000K02DC,fresh_sold,0,0,Fresh
CDS0S0000K02DC,fresh_sold,1,0,Fresh
CDS0S0000K02DC,fresh_sold,2,0,Fresh
CDS0S0000K02DC,fresh_sold,3,0,Fresh
CDS0S0000K02DC,fresh_sold,4,0,Fresh
CLG022270P10DC,fresh_sold,0,0,Fresh
CLG022270P10DC,fresh_sold,1,50,Fresh
CLG022270P10DC,fresh_sold,2,50,Fresh
CLG022270P10DC,fresh_sold,3,50,Fresh
CLG022270P10DC,fresh_sold,4,50,Fresh
