item code,0,1,2,3,4
CDS0J0000K02DF,0,0,0,0,0
P3JW00BRUK02DF,0,0,0,0,0
CKE0F0000K02DC,0,195,195,195,193
BTHS07595P24DF,0,0,0,0,0
PDMT04050K02DF,0,0,0,0,0
BTH0CU020K02DF,0,0,0,0,0
P3JW07090K02DC,0,47,47,47,47
PMJWMF000150DC,0,70,0,71,126
CLG026340K06DC,0,206,206,203,206
CDS0S0000K02DF,0,0,0,0,0
CLG022270P10DC,0,50,50,50,50
BLGS07595P24DF,0,0,0,0,0
CRB01924VP04DF,0,0,0,0,0
CLG022270K06DC,0,43,43,43,43
BBRSMF000K04DC,0,4579,4523,4723,4811
BBR0F0000K02DC,0,319,319,319,319
C3JWL0000K02DF,0,0,0,0,0
CDS0CU000K02DC,0,0,0,3,1
CRB015190K02DC,0,0,0,1,0
C9PCWBM20P18DC,0,2,2,2,0
BLG0F0000K02DC,0,77,77,77,77
PDMTF0000K02DC,0,189,172,196,201
C3JW0913VP06DF,0,0,0,0,0
CKE01218VP04DF,0,0,0,0,0
CRB015190K06DC,0,0,0,1,0
CRB019240K02DC,0,231,253,253,244
BBRSF3540K02DF,0,0,0,0,0
BBRSF0000K02DC,0,113,113,113,113
BCH019220K02DF,0,0,0,0,0
CRB019240K06DC,0,0,0,1,0
BFL0F0000K02DC,0,429,429,405,429
CCHICU000K06DC,0,0,0,19,17
BLGSF0000K02DC,0,5,5,4,4
BTH005565K06DF,0,0,0,0,0
BTHSMF02CK02DF,0,0,0,0,0
C3JW09120K04DF,0,0,0,0,0
BTHSMF0FFK04DC,0,202,202,202,201
BBRS1823FK02DF,0,0,0,0,0
C3JW09130K02DC,0,0,31,29,96
BFL003540K02DF,0,0,0,0,0
C3JW00BRUK02DF,0,0,0,0,0
CTH016210K02DC,0,0,0,0,0
CDS010140K02DC,0,0,0,471,471
CDS008110K02DC,0,749,750,737,748
CDS01014VP06DF,0,0,0,0,0
CCHICU000K02DC,0,8,9,9,9
PDMTMF000150DC,0,189,172,196,201
CTH013160K02DC,0,404,423,423,423
C3JW07100K02DC,0,0,0,0,0
BBRS07595P24DF,0,0,0,0,0
BTHSF0000K02DC,0,1,1,1,1
CTH015180P12DF,0,0,0,0,0
BBRS1821FK02DF,0,0,0,0,0
C9PCGCH00P18DF,0,0,0,0,0
CTH01621VP04DF,0,0,0,0,0
C4PC00000P08DC,0,338,339,339,339
C9PC00000P18DC,0,0,0,0,0
BTHSMF000K04DC,0,131,131,131,131
CBRSH2332P10DC,0,4073,4073,4069,4073
BTH009100K06DF,0,0,0,0,0
CTH016190K02DF,0,0,0,0,0
BTH0F0000K02DF,0,0,0,0,0
BLG018230K02DF,0,0,0,0,0
BBRS16180K05DF,0,0,0,0,0
PMJWF0000K02DC,0,3,3,3,3
CDS010140P20DC,0,22,22,22,22
P3JW08100K02DC,0,47,47,47,47
BTH007585K04DC,0,247,247,247,247
BBRS2325FK06DF,0,0,0,0,0
