item code,0,1,2,3,4
CDS0J0000K02DF,0,5,5,5,5
P3JW00BRUK02DF,0,120,120,120,120
CKE0F0000K02DC,0,140,140,140,140
BTHS07595P24DF,0,431,431,431,431
PDMT04050K02DF,0,143,143,143,143
BTH0CU020K02DF,0,36,36,36,36
P3JW07090K02DC,0,128,128,128,128
PMJWMF000150DC,0,0,0,0,0
CLG026340K06DC,0,22,22,22,22
CDS0S0000K02DF,0,41,41,41,41
CLG022270P10DC,0,71,71,71,71
BLGS07595P24DF,0,1,1,1,1
CRB01924VP04DF,0,1,1,1,1
CLG022270K06DC,0,33,33,33,33
BBRSMF000K04DC,0,0,0,0,0
BBR0F0000K02DC,0,22,22,22,22
C3JWL0000K02DF,0,185,185,185,185
CDS0CU000K02DC,0,35,35,35,35
CRB015190K02DC,0,79,79,79,79
C9PCWBM20P18DC,0,66,66,66,66
BLG0F0000K02DC,0,4,4,4,4
PDMTF0000K02DC,0,132,132,132,132
C3JW0913VP06DF,0,3,3,3,3
CKE01218VP04DF,0,1,1,1,1
CRB015190K06DC,0,0,0,0,0
CRB019240K02DC,0,124,124,124,124
BBRSF3540K02DF,0,44,44,44,44
BBRSF0000K02DC,0,84,84,84,84
BCH019220K02DF,0,538,538,538,538
CRB019240K06DC,0,0,0,0,0
BFL0F0000K02DC,0,232,232,232,232
CCHICU000K06DC,0,370,370,370,370
BLGSF0000K02DC,0,16,16,16,16
BTH005565K06DF,0,17,17,17,17
BTHSMF02CK02DF,0,687,687,687,687
C3JW09120K04DF,0,3,3,3,3
BTHSMF0FFK04DC,0,0,0,0,0
BBRS1823FK02DF,0,200,200,200,200
C3JW09130K02DC,0,572,572,572,572
BFL003540K02DF,0,78,78,78,78
C3JW00BRUK02DF,0,240,240,240,240
CTH016210K02DC,0,444,444,444,444
CDS010140K02DC,0,107,107,107,107
CDS008110K02DC,0,146,146,146,146
CDS01014VP06DF,0,6,6,6,6
CCHICU000K02DC,0,0,0,0,0
PDMTMF000150DC,0,0,0,0,0
CTH013160K02DC,0,177,177,177,177
C3JW07100K02DC,0,321,321,321,321
BBRS07595P24DF,0,365,365,365,365
BTHSF0000K02DC,0,52,52,52,52
CTH015180P12DF,0,404,404,404,404
BBRS1821FK02DF,0,71,71,71,71
C9PCGCH00P18DF,0,1753,1753,1753,1753
CTH01621VP04DF,0,1,1,1,1
C4PC00000P08DC,0,0,0,0,0
C9PC00000P18DC,0,0,0,0,0
BTHSMF000K04DC,0,135,135,135,135
CBRSH2332P10DC,0,338,338,338,338
BTH009100K06DF,0,302,302,302,302
CTH016190K02DF,0,215,215,215,215
BTH0F0000K02DF,0,0,0,0,0
BLG018230K02DF,0,153,153,153,153
BBRS16180K05DF,0,81,81,81,81
PMJWF0000K02DC,0,175,175,175,175
CDS010140P20DC,0,4,4,4,4
P3JW08100K02DC,0,46,46,46,46
BTH007585K04DC,0,0,0,0,0
BBRS2325FK06DF,0,6,6,6,6
