,0,1,2,3,4
CDS0J0000K02DF,0,119,132,119,105
P3JW00BRUK02DF,0,47,47,47,47
CKE0F0000K02DC,0,195,249,194,193
BTHS07595P24DF,0,0,0,0,0
PDMT04050K02DF,0,189,172,196,201
BTH0CU020K02DF,0,247,275,247,219
P3JW07090K02DC,0,47,47,47,47
PMJWMF000150DC,0,70,55,71,71
CLG026340K06DC,0,276,276,139,129
CDS0S0000K02DF,0,0,0,0,0
CLG022270P10DC,0,50,50,50,50
BLGS07595P24DF,0,0,0,0,0
CRB01924VP04DF,0,231,294,228,228
CLG022270K06DC,0,50,50,50,50
BBRSMF000K04DC,0,4579,4523,4723,4811
BBR0F0000K02DC,0,4579,4523,4723,4811
C3JWL0000K02DF,0,31,66,30,30
CDS0CU000K02DC,0,1,2,1,0
CRB015190K02DC,0,0,0,1,0
C9PCWBM20P18DC,0,5,1,12,0
BLG0F0000K02DC,0,77,77,154,0
PDMTF0000K02DC,0,189,172,196,201
C3JW0913VP06DF,0,31,66,29,30
CKE01218VP04DF,0,0,0,3,0
CRB015190K06DC,0,0,0,1,0
CRB019240K02DC,0,231,294,228,228
BBRSF3540K02DF,0,4579,4523,4723,4811
BBRSF0000K02DC,0,4579,4523,4723,4811
BCH019220K02DF,0,0,0,0,0
CRB019240K06DC,0,0,0,1,0
BFL0F0000K02DC,0,543,516,306,327
CCHICU000K06DC,0,10,16,8,1
BLGSF0000K02DC,0,5,8,4,0
BTH005565K06DF,0,0,0,0,0
BTHSMF02CK02DF,0,0,0,0,0
C3JW09120K04DF,0,31,66,29,30
BTHSMF0FFK04DC,0,202,202,202,201
BBRS1823FK02DF,0,0,0,0,0
C3JW09130K02DC,0,31,66,29,30
BFL003540K02DF,0,199,215,460,457
C3JW00BRUK02DF,0,31,66,30,30
CTH016210K02DC,0,0,0,0,0
CDS010140K02DC,0,235,249,235,222
CDS008110K02DC,0,749,750,737,748
CDS01014VP06DF,0,235,249,235,222
CCHICU000K02DC,0,10,16,8,1
PDMTMF000150DC,0,189,172,196,201
CTH013160K02DC,0,472,393,383,423
C3JW07100K02DC,0,0,0,0,0
BBRS07595P24DF,0,2639,2504,1483,1587
BTHSF0000K02DC,0,202,202,202,201
CTH015180P12DF,0,0,0,0,0
BBRS1821FK02DF,0,0,0,0,0
C9PCGCH00P18DF,0,0,0,10,0
CTH01621VP04DF,0,0,0,0,0
C4PC00000P08DC,0,339,375,302,339
C9PC00000P18DC,0,0,0,10,0
BTHSMF000K04DC,0,202,202,202,201
CBRSH2332P10DC,0,4080,4073,4062,4073
BTH009100K06DF,0,0,0,0,0
CTH016190K02DF,0,0,0,0,0
BTH0F0000K02DF,0,247,275,247,219
BLG018230K02DF,0,0,0,0,0
BBRS16180K05DF,0,0,0,0,0
PMJWF0000K02DC,0,70,55,71,71
CDS010140P20DC,0,235,249,235,222
P3JW08100K02DC,0,47,47,47,47
BTH007585K04DC,0,247,275,247,219
BBRS2325FK06DF,0,0,0,0,0
