item code,0,1,2,3,4
MPORWM1HSRETDC,0,0,0,0,0
WBM2BP000P10DC,0,0,0,0,0
CTH016190K02DF,0,0,0,0,0
BTHSMF0FFK04DC,0,0,0,0,0
MPORC9MDSP18DC,0,0,0,0,0
WBL1SPG41P01DC,0,0,0,0,0
BBRSF3540K02DF,0,0,0,0,0
WBL1BP000P10DC,0,0,0,0,0
BBRS2325FK06DF,0,0,0,0,0
WNC03P0S2P03DC,0,0,0,0,0
CDS010140K02DC,0,0,0,0,0
PDMTF0000K02DC,0,0,0,0,0
CDS010140P20DC,0,0,0,0,0
PDMT04050K02DF,0,0,0,0,0
BBRSMF000K04DC,0,0,0,0,0
WBM2SP000P01DC,0,0,0,0,0
CDS0CU000K02DC,0,0,0,0,0
BBRSF0000K02DC,0,0,0,0,0
CTH015180P12DF,0,0,0,0,0
CTH01621VP04DF,0,0,0,0,0
P3JW07090K02DC,0,0,0,0,0
BBRS1821FK02DF,0,0,0,0,0
BTHSMF000K04DC,0,0,0,0,0
CDS01014VP06DF,0,0,0,0,0
MPORWKRMXP10DC,0,0,0,0,0
MPORWM4BPRETDC,0,0,0,0,0
WNC03P000P03DC,0,0,0,0,0
CDS0J0000K02DF,0,0,0,0,0
MPORWM1HSP02DC,0,0,0,0,0
BTH005565K06DF,0,0,0,0,0
MPORWHYM1P02DC,0,0,0,0,0
MPORWKR00P10DC,0,0,0,0,0
MPORWBPM1P02DC,0,0,0,0,0
WBM1BP000P10DC,0,0,0,0,0
CRB019240K02DC,0,0,0,0,0
BBRS16180K05DF,0,0,0,0,0
BTHS07595P24DF,0,0,0,0,0
BTH009100K06DF,0,0,0,0,0
C3JW0913VP06DF,0,0,0,0,0
WBM1SP0JDP01DF,0,0,0,0,0
CDS0S0000K02DF,0,0,0,0,0
BLG018230K02DF,0,0,0,0,0
C3JW00BRUK02DF,0,0,0,0,0
BTH0F0000K02DF,0,0,0,0,0
C3JW09120K04DF,0,0,0,0,0
C9PC00000P18DC,0,0,0,0,0
BTH0CU020K02DF,0,0,0,0,0
BFL003540K02DF,0,0,0,0,0
WBS2BP000P10DC,0,0,0,0,0
BLG0F0000K02DC,0,0,0,0,0
MPORWM1BPP02DC,0,0,0,0,0
BLGS07595P24DF,0,0,0,0,0
CKE0F0000K02DC,0,0,0,0,0
MPORWMHM1P02DC,0,0,0,0,0
CCHICU000K02DC,0,0,0,0,0
BBRS1823FK02DF,0,0,0,0,0
MPORWM1HYRETDC,0,0,0,0,0
MPORWM1PKRETDC,0,0,0,0,0
CDS008110K02DC,0,0,0,0,0
MPORWKRBPP10DC,0,0,0,0,0
MPORWM1HYP02DC,0,0,0,0,0
PMJWMF000150DC,0,0,0,0,0
P3JW08100K02DC,0,0,0,0,0
BBR0F0000K02DC,0,0,0,0,0
CBRSH2332P10DC,0,0,0,0,0
C3JW09130K02DC,0,0,0,0,0
BTH007585K04DC,0,0,0,0,0
CLG026340K06DC,0,0,0,0,0
C9PCGCH00P18DF,0,0,0,0,0
MPORWM1PKP02DC,0,0,0,0,0
CLG022270K06DC,0,0,0,0,0
BTHSF0000K02DC,0,0,0,0,0
C4PC00000P08DC,0,0,0,0,0
PDMTMF000150DC,0,0,0,0,0
CRB015190K02DC,0,0,0,0,0
BBRS07595P24DF,0,0,0,0,0
MPORWNDORP02DC,0,0,0,0,0
MPORWNDORP04DC,0,0,0,0,0
WBL1SPHFGP01DC,0,0,0,0,0
MPORC9MD0P18DC,0,0,0,0,0
WBM2SPGCHP01DC,0,0,0,0,0
MPORC8TEXP16DC,0,0,0,0,0
BCH019220K02DF,0,0,0,0,0
BLGSF0000K02DC,0,0,0,0,0
CTH016210K02DC,0,0,0,0,0
BTHSMF02CK02DF,0,0,0,0,0
CTH013160K02DC,0,0,0,0,0
CKE01218VP04DF,0,0,0,0,0
BFL0F0000K02DC,0,0,0,0,0
CRB01924VP04DF,0,0,0,0,0
WBM1SP000P01DC,0,0,0,0,0
C9PCWBM20P18DC,0,0,0,0,0
P3JW00BRUK02DF,0,0,0,0,0
CCHICU000K06DC,0,0,0,0,0
CRB015190K06DC,0,0,0,0,0
PMJWF0000K02DC,0,0,0,0,0
CRB019240K06DC,0,0,0,0,0
CLG022270P10DC,0,0,0,0,0
C3JWL0000K02DF,0,0,0,0,0
C3JW07100K02DC,0,0,0,0,0
