Cost,Day,keyfigure
248387.155311,1,Selling_Price
1.7999962042,1,freezing_cost
365.185825657,1,holding_frozen
0.0,1,holding_fresh
0.0,1,penalty
23490.72,1,operating_cost
224529.449489,1,profit
247290.743839,2,Selling_Price
1.8,2,freezing_cost
396.447645206,2,holding_frozen
0.0,2,holding_fresh
0.0,2,penalty
23513.02,2,operating_cost
223379.476193,2,profit
255637.781528,3,Selling_Price
1.8,3,freezing_cost
427.678621831,3,holding_frozen
0.0,3,holding_fresh
0.0,3,penalty
23699.46,3,operating_cost
231508.842906,3,profit
258363.848226,4,Selling_Price
1.8,4,freezing_cost
458.105362037,4,holding_frozen
0.0,4,holding_fresh
0.0,4,penalty
23560.96,4,operating_cost
234342.982864,4,profit
