UOM,bird_size,date,product_group,quantity_produced
KG,S,2018-06-28,BL BFLY BREAST,18.0
KG,ML,2018-06-28,BL BFLY BREAST,17.0
KG,XXL,2018-06-28,BL BFLY BREAST,25.0
KG,S,2018-06-28,BL BREAST,99.0
KG,ML,2018-06-28,BL BREAST,15.0
KG,XXL,2018-06-28,BL BREAST,87.15000000000785
KG,ML,2018-06-28,BSL BREAST,76.0
KG,XL,2018-06-28,BSL BREAST,82.0
KG,XXL,2018-06-28,BSL BREAST,159.14000000000001
KG,ML,2018-06-28,BSL OPEN CUT BRS,0.03999999999997783
KG,M,2018-06-28,BSL BFLY BREAST,4.0
KG,XXL,2018-06-28,BSL BFLY BREAST,44.0
KG,L,2018-06-28,BRS CUBE,15.0
KG,S,2018-06-28,BRS STRIP,13.0
KG,XXL,2018-06-28,BRS STRIP,101.0
KG,S,2018-06-28,CHOP,39.0
KG,M,2018-06-28,FIL WOT,104.0
KG,ML,2018-06-28,FIL WOT,21.0
KG,XL,2018-06-28,FIL,22.0
KG,XXL,2018-06-28,FIL,64.0
KG,S,2018-06-28,BL LEG,75.0
KG,XXL,2018-06-28,BL LEG,69.0
KG,ML,2018-06-28,BSL LEG,91.0
KG,XL,2018-06-28,BSL LEG,54.0
KG,XXL,2018-06-28,BSL LEG,89.92
KG,S,2018-06-28,BS DS,12.0
KG,ML,2018-06-28,BS DS,87.0
KG,XL,2018-06-28,BSL LEG CUBE,137.0
KG,S,2018-06-28,BL THI,103.0
KG,ML,2018-06-28,BSL THI,326.70000000000005
KG,L,2018-06-28,BSL THI,48.0
KG,XL,2018-06-28,BSL THI,21.0
KG,XXL,2018-06-28,BSL THI,28.0
KG,S,2018-06-28,BSL LEG (2 CUT),16.0
KG,S,2018-06-28,PIECE CUT,59.0
KG,XL,2018-06-28,PIECE CUT,37.0
KG,XXL,2018-06-28,PIECE CUT,15.0
KG,ML,2018-06-28,3JW MC,18.0
KG,XL,2018-06-28,3JW MC,220.0
KG,XXL,2018-06-28,3JW MC,45.0
KG,L,2018-06-28,SWBH,110.0
KG,XL,2018-06-28,SWBH,247.8
KG,M,2018-06-28,CUBE23,7.0
KG,ML,2018-06-28,CUBE23,40.0
KG,L,2018-06-28,CUBE23,20.0
KG,XL,2018-06-28,CUBE23,12.0
KG,M,2018-06-28,CUBE,104.0
KG,XL,2018-06-28,CUBE,8.0
KG,M,2018-06-28,DS,31.0
KG,ML,2018-06-28,DS,7.0
KG,L,2018-06-28,DS,1.0
KG,XL,2018-06-28,DS,26.0
KG,M,2018-06-28,CUBE3,41.0
KG,ML,2018-06-28,CUBE3,32.0
KG,L,2018-06-28,CUBE3,91.0
