UOM,bird_size,date,product_group,quantity_produced
KG,ML,2018-06-28,BL BFLY BREAST,99.17999999999999
KG,L,2018-06-28,BL BFLY BREAST,101.07999999999998
KG,XL,2018-06-28,BL BFLY BREAST,91.95999999996795
KG,S,2018-06-28,BL BREAST,60.029999999985094
KG,M,2018-06-28,BL BREAST,637.98
KG,L,2018-06-28,BL BREAST,107.52
KG,XXL,2018-06-28,BL BREAST,87.15000000000785
KG,S,2018-06-28,BSL BREAST,50.16
KG,M,2018-06-28,BSL BREAST,110.16000000000001
KG,ML,2018-06-28,BSL BREAST,171.02
KG,XL,2018-06-28,BSL BREAST,196.01000000000002
KG,XXL,2018-06-28,BSL BREAST,143.14000000000001
KG,ML,2018-06-28,BSL OPEN CUT BRS,193.03999999999996
KG,XXL,2018-06-28,BSL OPEN CUT BRS,102.02999999999999
KG,S,2018-06-28,BSL BFLY BREAST,62.05000000000353
KG,L,2018-06-28,BSL BFLY BREAST,48.11000000000001
KG,XL,2018-06-28,BSL BFLY BREAST,67.15
KG,M,2018-06-28,BRS CUBE,125.01999999999998
KG,ML,2018-06-28,BRS CUBE,31.159999999999997
KG,L,2018-06-28,BRS CUBE,118.17999999999998
KG,M,2018-06-28,BRS STRIP,110.16000000000001
KG,ML,2018-06-28,BRS STRIP,171.02
KG,XL,2018-06-28,BRS STRIP,196.01000000000002
KG,XXL,2018-06-28,BRS STRIP,143.14000000000001
KG,M,2018-06-28,CHOP,79.17
KG,XL,2018-06-28,CHOP,157.08000000000752
KG,M,2018-06-28,FIL WOT,121.52
KG,L,2018-06-28,FIL WOT,77.96000000000001
KG,XL,2018-06-28,FIL WOT,60.64
KG,XXL,2018-06-28,FIL WOT,7.760000000001517
KG,S,2018-06-28,FIL,27.039999999997995
KG,M,2018-06-28,FIL,52.24
KG,ML,2018-06-28,FIL,108.32
KG,XL,2018-06-28,FIL,20.639999999993254
KG,XXL,2018-06-28,FIL,63.99999999999998
KG,S,2018-06-28,BL LEG,244.14999999999992
KG,ML,2018-06-28,BL LEG,120.07999999999998
KG,XL,2018-06-28,BL LEG,17.860000000496324
KG,XXL,2018-06-28,BL LEG,52.059999999999995
KG,S,2018-06-28,BSL LEG,69.12
KG,M,2018-06-28,BSL LEG,177.92000000000002
KG,ML,2018-06-28,BSL LEG,79.04
KG,XL,2018-06-28,BSL LEG,192.0
KG,XXL,2018-06-28,BSL LEG,89.92
KG,S,2018-06-28,BS DS,112.01999999999997
KG,ML,2018-06-28,BS DS,196.01999999999998
KG,S,2018-06-28,BSL LEG CUBE,6.5600000000001
KG,M,2018-06-28,BSL LEG CUBE,137.12
KG,L,2018-06-28,BSL LEG CUBE,219.04
KG,XL,2018-06-28,BSL LEG CUBE,135.04
KG,XXL,2018-06-28,BSL LEG CUBE,29.12
KG,S,2018-06-28,BL THI,145.079999999997
KG,M,2018-06-28,BL THI,90.0
KG,XL,2018-06-28,BL THI,117.0
KG,S,2018-06-28,BSL THI,186.69999999999996
KG,ML,2018-06-28,BSL THI,326.70000000000005
KG,S,2018-06-28,BSL LEG (2 CUT),41.12
KG,XL,2018-06-28,BSL LEG (2 CUT),31.359999999549352
KG,XXL,2018-06-28,BSL LEG (2 CUT),64.96000000000599
KG,S,2018-06-28,PIECE CUT,4.62
KG,ML,2018-06-28,PIECE CUT,123.2550000000002
KG,XL,2018-06-28,PIECE CUT,1.112314925814699e-10
KG,XXL,2018-06-28,PIECE CUT,118.14000000000003
KG,S,2018-06-28,3JW MC,7.079999999996987
KG,ML,2018-06-28,3JW MC,233.6699999999999
KG,L,2018-06-28,3JW MC,93.0
KG,XL,2018-06-28,3JW MC,193.07999999997975
KG,S,2018-06-28,SWBH,77.1
KG,ML,2018-06-28,SWBH,91.2
KG,L,2018-06-28,SWBH,99.0
KG,XL,2018-06-28,SWBH,220.80000000000004
KG,S,2018-06-28,CUBE23,67.32
KG,XL,2018-06-28,CUBE23,12.540000000000001
KG,M,2018-06-28,CUBE,100.32000000000001
KG,ML,2018-06-28,CUBE,115.5
KG,XXL,2018-06-28,CUBE,178.20000000000002
KG,S,2018-06-28,DS,145.079999999997
KG,M,2018-06-28,DS,264.8
KG,ML,2018-06-28,DS,40.62499999999996
KG,XL,2018-06-28,DS,117.0
KG,XXL,2018-06-28,DS,21.0
KG,L,2018-06-28,CUBE3,91.0
KG,XXL,2018-06-28,CUBE3,16.0
KG,S,2018-06-28,KEEL,374.22000000000224
KG,M,2018-06-28,KEEL,61.019999999999996
KG,ML,2018-06-28,KEEL,144.11249999999995
KG,XL,2018-06-28,KEEL,116.00999999999999
KG,M,2018-06-28,QLEG,49.84
KG,S,2018-06-28,RIB,831.600000000005
KG,M,2018-06-28,RIB,135.6
KG,ML,2018-06-28,RIB,320.24999999999994
KG,XL,2018-06-28,RIB,257.8
KG,M,2018-06-28,THIGH,279.68
KG,ML,2018-06-28,THIGH,64.99999999999996
KG,XXL,2018-06-28,THIGH,33.599999999999994
KG,S,2018-06-28,2JW,154.01999999999998
KG,M,2018-06-28,2JW,106.02
KG,XXL,2018-06-28,2JW,53.820000000001116
KG,M,2018-06-28,3JW JC,119.04
KG,L,2018-06-28,3JW JC,60.0
KG,S,2018-06-28,DMT,205.36
KG,M,2018-06-28,DMT,141.36
KG,ML,2018-06-28,DMT,106.64
KG,L,2018-06-28,DMT,30.16
KG,XL,2018-06-28,DMT,98.68
KG,XXL,2018-06-28,DMT,71.7600000000015
KG,ML,2018-06-28,MJW,79.98
KG,L,2018-06-28,MJW,22.619999999999997
KG,XL,2018-06-28,MJW,74.00999999999999
KG,XL,2018-06-29,BL BFLY BREAST,49.21000000003204
KG,M,2018-06-29,BL BREAST,1004.01
KG,L,2018-06-29,BL BREAST,532.7699999999998
KG,XXL,2018-06-29,BL BREAST,234.56999999999198
KG,M,2018-06-29,BSL BREAST,119.00000000000001
KG,L,2018-06-29,BSL BREAST,101.14999999999603
KG,XXL,2018-06-29,BSL BREAST,71.91000000000004
KG,XXL,2018-06-29,BSL OPEN CUT BRS,32.10999999999999
KG,XXL,2018-06-29,BSL BFLY BREAST,116.11000000000001
KG,XXL,2018-06-29,BRS CUBE,31.159999999999997
KG,M,2018-06-29,BRS STRIP,119.00000000000001
KG,L,2018-06-29,BRS STRIP,101.14999999999603
KG,XXL,2018-06-29,BRS STRIP,71.91000000000004
KG,ML,2018-06-29,CHOP,149.09999999999985
KG,XXL,2018-06-29,CHOP,35.070000000000995
KG,M,2018-06-29,FIL WOT,30.48
KG,L,2018-06-29,FIL WOT,125.27999999999902
KG,XXL,2018-06-29,FIL WOT,102.23999999999847
KG,M,2018-06-29,FIL,188.76
KG,XL,2018-06-29,FIL,10.360000000006746
KG,L,2018-06-29,BL LEG,305.14
KG,XL,2018-06-29,BL LEG,144.20999999950365
KG,M,2018-06-29,BSL LEG,0.16
KG,XXL,2018-06-29,BSL LEG,0.16
KG,ML,2018-06-29,BS DS,146.99999999983172
KG,L,2018-06-29,BS DS,37.01999999999976
KG,XXL,2018-06-29,BS DS,145.01999999999998
KG,ML,2018-06-29,BSL LEG CUBE,136.0
KG,S,2018-06-29,BL THI,3.0122951752023907e-12
KG,ML,2018-06-29,BL THI,122.03999999999996
KG,ML,2018-06-29,BSL THI,244.99999999971953
KG,L,2018-06-29,BSL THI,61.699999999999605
KG,XXL,2018-06-29,BSL THI,241.70000000000002
KG,ML,2018-06-29,BSL LEG (2 CUT),14.08
KG,XXL,2018-06-29,BSL LEG (2 CUT),17.119999999994022
KG,S,2018-06-29,PIECE CUT,90.42
KG,M,2018-06-29,PIECE CUT,261.0
KG,XL,2018-06-29,PIECE CUT,0.03999999988876055
KG,S,2018-06-29,3JW MC,3.0091484859440243e-12
KG,M,2018-06-29,3JW MC,386.70545454545464
KG,ML,2018-06-29,3JW MC,613.6799999996633
KG,L,2018-06-29,3JW MC,123.0
KG,XL,2018-06-29,3JW MC,0.1127272724138036
KG,XL,2018-06-29,SWBH,0.2999999999999659
KG,XXL,2018-06-29,SWBH,85.2000000000002
KG,L,2018-06-29,CUBE23,48.18
KG,S,2018-06-29,CUBE,112.2000000000032
KG,XL,2018-06-29,CUBE,88.44
KG,S,2018-06-29,DS,3.0122951752023907e-12
KG,M,2018-06-29,DS,547.9545454545455
KG,ML,2018-06-29,DS,122.03999999999996
KG,L,2018-06-29,DS,137.0
KG,XL,2018-06-29,DS,0.09393939393939515
KG,L,2018-06-29,CUBE3,48.0
KG,S,2018-06-29,KEEL,2.259221381401793e-12
KG,M,2018-06-29,KEEL,0.0490909090909355
KG,ML,2018-06-29,KEEL,460.34999999974747
KG,L,2018-06-29,KEEL,84.69000000000183
KG,XL,2018-06-29,KEEL,44.994545454295185
KG,M,2018-06-29,QLEG,0.28
KG,XXL,2018-06-29,QLEG,41.439999999998676
KG,S,2018-06-29,RIB,5.0204919586706514e-12
KG,M,2018-06-29,RIB,0.10909090909096493
KG,ML,2018-06-29,RIB,1022.9999999994388
KG,L,2018-06-29,RIB,188.20000000000408
