bird_size,date,orders,product_group,satisfied,selling_gains,unsatisfied
XL,2018-06-28,55,BSL BREAST,55.0,825.0,0.0
S,2018-06-28,24,BRS STRIP,24.0,432.0,0.0
ML,2018-06-28,94,BL LEG,94.0,2632.0,0.0
S,2018-06-28,71,BSL LEG,71.0,1988.0,0.0
XL,2018-06-28,164,BSL LEG,164.0,2952.0,0.0
ML,2018-06-28,46,BS DS,46.0,1288.0,0.0
M,2018-06-28,131,BSL LEG CUBE,131.0,2620.0,0.0
L,2018-06-28,82,BSL LEG CUBE,82.0,902.0,0.0
XXL,2018-06-28,45,BSL LEG CUBE,45.0,900.0,0.0
ML,2018-06-28,150,PIECE CUT,150.0,1800.0,0.0
XXL,2018-06-28,128,PIECE CUT,128.0,1280.0,0.0
XXL,2018-06-28,96,CUBE,96.0,1824.0,0.0
XXL,2018-06-28,25,CUBE3,25.0,325.0,0.0
M,2018-06-28,12,KEEL,12.0,300.0,0.0
S,2018-06-28,188,2JW,188.0,3008.0,0.0
L,2018-06-28,80,3JW JC,80.0,2320.0,0.0
ML,2018-06-28,62,DMT,62.0,1302.0,0.0
XXL,2018-06-29,32,BSL OPEN CUT BRS,32.0,704.0,0.0
M,2018-06-29,125,BRS CUBE,125.0,3250.0,0.0
M,2018-06-29,119,BRS STRIP,119.0,3094.0,0.0
XL,2018-06-29,51,CHOP,51.0,1071.0,0.0
XXL,2018-06-29,81,CHOP,81.0,1863.0,0.0
L,2018-06-29,148,FIL WOT,148.0,2072.0,0.0
XXL,2018-06-29,110,FIL WOT,110.0,2750.0,0.0
M,2018-06-29,150,FIL,150.0,3750.0,0.0
XL,2018-06-29,31,FIL,31.0,868.0,0.0
L,2018-06-29,180,BL LEG,180.0,5400.0,0.0
XL,2018-06-29,162,BL LEG,162.0,1620.0,0.0
S,2018-06-29,31,BSL THI,31.0,496.0,0.0
XXL,2018-06-29,16,BSL THI,16.0,192.0,0.0
S,2018-06-29,41,BSL LEG (2 CUT),41.0,410.0,0.0
S,2018-06-29,91,PIECE CUT,91.0,2184.0,0.0
L,2018-06-29,123,3JW MC,123.0,2091.0,0.0
S,2018-06-29,112,CUBE,112.0,2016.0,0.0
L,2018-06-29,137,DS,137.0,2877.0,0.0
S,2018-06-29,247,RIB,247.0,4446.0,0.0
M,2018-06-29,34,3JW JC,34.0,1020.0,0.0
L,2018-06-29,11,DMT,11.0,132.0,0.0
XL,2018-06-30,160,BSL BREAST,160.0,2400.0,0.0
ML,2018-06-30,148,BSL OPEN CUT BRS,148.0,3108.0,0.0
XL,2018-06-30,111,BSL OPEN CUT BRS,111.0,2331.0,0.0
XL,2018-06-30,106,BRS CUBE,106.0,1908.0,0.0
ML,2018-06-30,139,BRS STRIP,139.0,2363.0,0.0
L,2018-06-30,105,FIL WOT,105.0,1470.0,0.0
XL,2018-06-30,127,FIL WOT,127.0,3429.0,0.0
L,2018-06-30,140,BS DS,140.0,1820.0,0.0
M,2018-06-30,47,BSL LEG CUBE,47.0,940.0,0.0
XXL,2018-06-30,65,BSL LEG CUBE,65.0,1300.0,0.0
XL,2018-06-30,120,BSL LEG (2 CUT),120.0,2880.0,0.0
XXL,2018-06-30,45,BSL LEG (2 CUT),45.0,855.0,0.0
M,2018-06-30,18,3JW MC,18.0,486.0,0.0
ML,2018-06-30,91,SWBH,91.0,2002.0,0.0
XXL,2018-06-30,81,SWBH,81.0,1134.0,0.0
ML,2018-06-30,36,CUBE23,36.0,972.0,0.0
L,2018-06-30,14,CUBE23,14.0,266.0,0.0
M,2018-06-30,109,KEEL,109.0,2725.0,0.0
ML,2018-06-30,71,QLEG,71.0,1988.0,0.0
XL,2018-06-30,113,QLEG,113.0,2373.0,0.0
XXL,2018-06-30,126,QLEG,126.0,2772.0,0.0
ML,2018-06-30,98,RIB,98.0,2548.0,0.0
ML,2018-06-30,80,MJW,80.0,1680.0,0.0
