bird_size,date,orders,product_group,satisfied,selling_gains,unsatisfied
S,2018-06-28,120,BL BREAST,120.0,2280.0,0.0
XXL,2018-06-28,92,BL BREAST,92.0,1840.0,0.0
ML,2018-06-28,76,BSL BREAST,76.0,1064.0,0.0
XL,2018-06-28,82,BSL BREAST,82.0,984.0,0.0
L,2018-06-28,15,BRS CUBE,15.0,360.0,0.0
XXL,2018-06-28,102,BRS STRIP,102.0,2958.0,0.0
M,2018-06-28,104,FIL WOT,104.0,2912.0,0.0
XXL,2018-06-28,64,FIL,64.0,704.0,0.0
XXL,2018-06-28,69,BL LEG,69.0,2070.0,0.0
ML,2018-06-28,101,BSL LEG,101.0,1414.0,0.0
XL,2018-06-28,98,BSL LEG,98.0,1862.0,0.0
ML,2018-06-28,119,BS DS,119.0,2380.0,0.0
XL,2018-06-28,137,BSL LEG CUBE,137.0,2603.0,0.0
S,2018-06-28,60,PIECE CUT,60.0,1740.0,0.0
XL,2018-06-28,24,PIECE CUT,24.0,696.0,0.0
XXL,2018-06-28,62,PIECE CUT,62.0,620.0,0.0
XL,2018-06-28,260,3JW MC,260.0,5460.0,0.0
L,2018-06-28,115,SWBH,115.0,2185.0,0.0
XL,2018-06-28,121,SWBH,121.0,2904.0,0.0
XL,2018-06-28,52,CUBE23,52.0,1456.0,0.0
M,2018-06-28,104,CUBE,104.0,1144.0,0.0
XL,2018-06-28,26,DS,26.0,702.0,0.0
L,2018-06-28,91,CUBE3,91.0,1092.0,0.0
XXL,2018-06-28,33,KEEL,33.0,396.0,0.0
ML,2018-06-28,140,THIGH,140.0,1680.0,0.0
M,2018-06-28,132,2JW,132.0,1848.0,0.0
M,2018-06-28,119,3JW JC,119.0,2142.0,0.0
XXL,2018-06-29,134,BSL BREAST,134.0,1742.0,0.0
M,2018-06-29,25,BSL BFLY BREAST,25.0,725.0,0.0
XL,2018-06-29,87,BSL BFLY BREAST,87.0,2436.0,0.0
L,2018-06-29,134,BRS STRIP,134.0,4020.0,0.0
ML,2018-06-29,159,CHOP,159.0,2226.0,0.0
M,2018-06-29,90,FIL WOT,90.0,2520.0,0.0
S,2018-06-29,120,BL LEG,120.0,1440.0,0.0
XXL,2018-06-29,115,BSL LEG,115.0,1725.0,0.0
S,2018-06-29,45,BS DS,45.0,945.0,0.0
L,2018-06-29,39,BS DS,39.0,1131.0,0.0
XXL,2018-06-29,145,BS DS,145.0,2175.0,0.0
S,2018-06-29,135,BL THI,135.0,3510.0,0.0
ML,2018-06-29,139,BL THI,139.0,1390.0,0.0
XXL,2018-06-29,20,BSL THI,20.0,280.0,0.0
ML,2018-06-29,96,BSL LEG (2 CUT),96.0,2400.0,0.0
XL,2018-06-29,147,SWBH,147.0,3528.0,0.0
L,2018-06-29,85,CUBE23,85.0,2465.0,0.0
XL,2018-06-29,128,CUBE,128.0,3456.0,0.0
M,2018-06-29,38,DS,38.0,570.0,0.0
L,2018-06-29,48,CUBE3,48.0,576.0,0.0
XL,2018-06-29,67,KEEL,67.0,1206.0,0.0
M,2018-06-29,88,QLEG,88.0,2288.0,0.0
XL,2018-06-29,24,THIGH,24.0,504.0,0.0
XXL,2018-06-29,29,THIGH,29.0,812.0,0.0
M,2018-06-29,91,MJW,91.0,1001.0,0.0
ML,2018-06-30,93,BL BFLY BREAST,93.0,1953.0,0.0
XXL,2018-06-30,126,BL BREAST,126.0,2520.0,0.0
XL,2018-06-30,14,BSL BREAST,14.0,168.0,0.0
XL,2018-06-30,120,BSL OPEN CUT BRS,120.0,2400.0,0.0
ML,2018-06-30,18,BSL BFLY BREAST,18.0,342.0,0.0
XXL,2018-06-30,105,BSL BFLY BREAST,105.0,2835.0,0.0
M,2018-06-30,148,BRS CUBE,148.0,2072.0,0.0
L,2018-06-30,19,FIL WOT,19.0,247.0,0.0
XXL,2018-06-30,107,FIL WOT,107.0,1605.0,0.0
XL,2018-06-30,128,BSL LEG,128.0,2432.0,0.0
S,2018-06-30,57,BSL LEG CUBE,57.0,798.0,0.0
L,2018-06-30,88,PIECE CUT,88.0,2464.0,0.0
ML,2018-06-30,101,SWBH,101.0,2020.0,0.0
XL,2018-06-30,84,SWBH,84.0,2016.0,0.0
S,2018-06-30,102,CUBE23,102.0,1122.0,0.0
M,2018-06-30,73,DS,73.0,1095.0,0.0
L,2018-06-30,69,DS,69.0,2001.0,0.0
M,2018-06-30,94,KEEL,94.0,2726.0,0.0
M,2018-06-30,21,THIGH,21.0,336.0,0.0
ML,2018-06-30,132,THIGH,132.0,1584.0,0.0
M,2018-06-30,91,2JW,91.0,1274.0,0.0
L,2018-06-30,15,3JW JC,15.0,225.0,0.0
XL,2018-06-30,31,3JW JC,31.0,837.0,0.0
XL,2018-06-30,96,DMT,96.0,2400.0,0.0
